Namespace(dataset='movielens', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
current iteration: 	 1
select index length:	 20
idx_select:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
train index length:	 20
train index:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
start training...
Epoch 00086 | Train Acc: 0.9000 | Train Loss: 0.2087 | Valid Acc: 0.3410 | Valid loss: 1.8195 | Time: 0.0359
Epoch 00087 | Train Acc: 1.0000 | Train Loss: 0.1682 | Valid Acc: 0.3704 | Valid loss: 1.6965 | Time: 0.0359
Epoch 00088 | Train Acc: 1.0000 | Train Loss: 0.1058 | Valid Acc: 0.3660 | Valid loss: 1.7564 | Time: 0.0359
Epoch 00089 | Train Acc: 0.9000 | Train Loss: 0.2924 | Valid Acc: 0.3878 | Valid loss: 1.7262 | Time: 0.0359
Epoch 00090 | Train Acc: 0.9000 | Train Loss: 0.1640 | Valid Acc: 0.3758 | Valid loss: 1.7698 | Time: 0.0358
Epoch 00091 | Train Acc: 0.9500 | Train Loss: 0.2609 | Valid Acc: 0.4020 | Valid loss: 1.7829 | Time: 0.0358
Epoch 00092 | Train Acc: 1.0000 | Train Loss: 0.1730 | Valid Acc: 0.3704 | Valid loss: 1.9015 | Time: 0.0358
Epoch 00093 | Train Acc: 1.0000 | Train Loss: 0.1020 | Valid Acc: 0.3442 | Valid loss: 1.8472 | Time: 0.0357
Epoch 00094 | Train Acc: 0.9500 | Train Loss: 0.2246 | Valid Acc: 0.3660 | Valid loss: 1.7993 | Time: 0.0357
Epoch 00095 | Train Acc: 0.9500 | Train Loss: 0.1354 | Valid Acc: 0.3649 | Valid loss: 1.8761 | Time: 0.0356
