Namespace(dataset='cora', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
adj_shape:	 (56670, 56670)
current iteration: 	 1
select index length:	 20
idx_select:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
train index length:	 20
train index:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
rgcn index: 	 [4126, 6420, 12864, 2349, 19031, 10370, 5068, 8117, 9847, 6690, 8880, 14243, 18277, 2603, 13474, 12482, 524, 6083, 11760, 5753]
others:	 ['author', 'paper', 'term']
start training...
Epoch 00101 | Train Acc: 1.0000 | Train Loss: 0.1780 | Valid Acc: 0.2950 | Valid loss: 2.5141 | Time: 0.0392
Epoch 00102 | Train Acc: 1.0000 | Train Loss: 0.1771 | Valid Acc: 0.2812 | Valid loss: 2.4980 | Time: 0.0392
Epoch 00103 | Train Acc: 0.9500 | Train Loss: 0.1889 | Valid Acc: 0.2996 | Valid loss: 2.4894 | Time: 0.0391
Epoch 00104 | Train Acc: 1.0000 | Train Loss: 0.0726 | Valid Acc: 0.2784 | Valid loss: 2.5104 | Time: 0.0391
Epoch 00105 | Train Acc: 0.9500 | Train Loss: 0.2104 | Valid Acc: 0.2940 | Valid loss: 2.4800 | Time: 0.0391
Epoch 00106 | Train Acc: 0.9500 | Train Loss: 0.2214 | Valid Acc: 0.2929 | Valid loss: 2.5417 | Time: 0.0391
Epoch 00107 | Train Acc: 1.0000 | Train Loss: 0.2416 | Valid Acc: 0.2909 | Valid loss: 2.4886 | Time: 0.0390
Epoch 00108 | Train Acc: 0.9500 | Train Loss: 0.3411 | Valid Acc: 0.2814 | Valid loss: 2.5153 | Time: 0.0390
Epoch 00109 | Train Acc: 0.9000 | Train Loss: 0.1809 | Valid Acc: 0.2996 | Valid loss: 2.4593 | Time: 0.0390
Epoch 00110 | Train Acc: 1.0000 | Train Loss: 0.0803 | Valid Acc: 0.3032 | Valid loss: 2.5149 | Time: 0.0390
Epoch 00111 | Train Acc: 1.0000 | Train Loss: 0.1041 | Valid Acc: 0.2960 | Valid loss: 2.5196 | Time: 0.0389
Epoch 00112 | Train Acc: 1.0000 | Train Loss: 0.0811 | Valid Acc: 0.2738 | Valid loss: 2.5963 | Time: 0.0389
Epoch 00113 | Train Acc: 1.0000 | Train Loss: 0.0902 | Valid Acc: 0.2889 | Valid loss: 2.5715 | Time: 0.0389
